Year;Unit;Country;Month;value
2015;usd;Romania;01;0
2015;usd;Pakistan;01;0
2015;usd;Czechia;01;64066
2015;usd;Germany;01;187270
2015;usd;Brazil;01;88613
2015;usd;Mexico;01;9090
2015;usd;Belgium;01;43313
2015;usd;Hong Kong;01;0
2015;usd;Sweden;01;0
2015;usd;China;01;8879671
2015;usd;Italy;01;1191541
2015;usd;Canada;01;4208187
2015;usd;Oman;01;0
2015;usd;Argentina;01;0
2015;usd;Poland;01;23337
2015;usd;Spain;01;7514447
2015;usd;Colombia;01;0
2015;usd;Vietnam;01;4178679
2015;usd;Netherlands;01;0
2015;usd;Singapore;01;0
2015;usd;Turkey;01;28848
2015;usd;Indonesia;01;0
2015;usd;Philippines;01;0
2015;usd;Hungary;01;0
2015;usd;Ecuador;01;0
2015;usd;Israel;01;13445124
2015;usd;Mauritius;01;0
2015;usd;Austria;01;0
2015;usd;India;01;1125599
2015;usd;Taiwan;01;0
2015;usd;South Korea;01;767214
2015;usd;Portugal;01;637023
2016;usd;Australia;01;0
2016;usd;Brazil;01;165260
2016;usd;Cameroon;01;0
2016;usd;Canada;01;6197142
2016;usd;China;01;19659645
2016;usd;Colombia;01;0
2016;usd;Czechia;01;598766
2016;usd;France;01;0
2016;usd;Germany;01;1020422
2016;usd;Hong Kong;01;15246
2016;usd;Hungary;01;0
2016;usd;India;01;3304922
2016;usd;Israel;01;9866524
2016;usd;Italy;01;1810285
2016;usd;Jamaica;01;0
2016;usd;Lebanon;01;0
2016;usd;Mauritania;01;0
2016;usd;Mauritius;01;0
2016;usd;Mexico;01;21988
2016;usd;Netherlands;01;0
2016;usd;Oman;01;0
2016;usd;Philippines;01;0
2016;usd;Portugal;01;665982
2016;usd;Romania;01;32156
2016;usd;Saudi Arabia;01;0
2016;usd;Singapore;01;82520
2016;usd;South Korea;01;741612
2016;usd;Spain;01;8476089
2016;usd;Switzerland;01;0
2016;usd;Taiwan;01;0
2016;usd;Thailand;01;0
